ogr,libelle,libelle_type,root,root_type,context,chunk,chunk_length,chunk_index,chunk_level
106461,"Utilisation d'équipement manuel (mixeur, malaxeur, agitateur, ...)",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'équipement manuel","Utilisation d'équipement manuel",4,0,1
106465,"Réglementation sur le stockage de produits spécifiques (dangereux, sous température dirigée, phytosanitaire, ...)",SAVOIRS THEORIQUES ET PROCEDURAUX,Réglementation,ANOUN,"sur le stockage de produits spécifiques","Réglementation sur le stockage de produits spécifiques",7,0,1
106468,"Identifier les opérations de parachèvement/finition, les outils/abrasifs et l'état de surface à partir de documents techniques, fiches, ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,Identifier,AVERB,"les opérations de parachèvement / finition, les outils / abrasifs et l'état de surface à partir","identifier les opérations de parachèvement / finition, les outils / abrasifs et l'état de surface à partir",19,0,1
106468,"Identifier les opérations de parachèvement/finition, les outils/abrasifs et l'état de surface à partir de documents techniques, fiches, ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de parachèvement / finition","opérations de parachèvement / finition",5,1,2
106469,"Régler et monter les outils et abrasifs (meules, bandes, feutres, ...), le positionnement et le maintien de la pièce et les paramètres d'abrasion",ACTIVITE DE BASE ET/OU SPECIFIQUE,Régler,AVERB,"les outils et abrasifs, le positionnement et le maintien de la pièce et les paramètres d'abrasion","régler les outils et abrasifs, le positionnement et le maintien de la pièce et les paramètres d'abrasion",19,0,1
106469,"Régler et monter les outils et abrasifs (meules, bandes, feutres, ...), le positionnement et le maintien de la pièce et les paramètres d'abrasion",ACTIVITE DE BASE ET/OU SPECIFIQUE,monter,AVERB,"les outils et abrasifs, le positionnement et le maintien de la pièce et les paramètres d'abrasion","monter les outils et abrasifs, le positionnement et le maintien de la pièce et les paramètres d'abrasion",19,1,1
106470,"Abraser la surface, en contrôler l'état (aspérité, aspect) et effectuer les retouches",ACTIVITE DE BASE ET/OU SPECIFIQUE,Abraser,AVERB,"la surface","abraser la surface",3,0,1
106470,"Abraser la surface, en contrôler l'état (aspérité, aspect) et effectuer les retouches",ACTIVITE DE BASE ET/OU SPECIFIQUE,contrôler,AVERB,"l'état","contrôler l'état",3,1,1
106470,"Abraser la surface, en contrôler l'état (aspérité, aspect) et effectuer les retouches",ACTIVITE DE BASE ET/OU SPECIFIQUE,effectuer,AVERB,"les retouches","effectuer les retouches",3,2,1
106471,"Contrôler l'usure de l'abrasif et le changer",ACTIVITE DE BASE ET/OU SPECIFIQUE,Contrôler,AVERB,"l'usure de l'abrasif","contrôler l'usure de l'abrasif",6,0,1
106471,"Contrôler l'usure de l'abrasif et le changer",ACTIVITE DE BASE ET/OU SPECIFIQUE,changer,AVERB,"l'usure de l'abrasif","changer l'usure de l'abrasif",6,1,1
106473,"Spécificités des abrasifs",SAVOIRS THEORIQUES ET PROCEDURAUX,Spécificités,ANOUN,"des abrasifs","Spécificités des abrasifs",3,0,1
106474,"Techniques de lubrification",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de lubrification","Techniques de lubrification",3,0,1
106475,"Réaliser une opération d'avivage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération d'avivage de surface","réaliser une opération d'avivage de surface",7,0,1
106475,"Réaliser une opération d'avivage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"d'avivage de surface","opération d'avivage de surface",5,1,2
106476,"Réaliser une opération de feutrage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération de feutrage de surface","réaliser une opération de feutrage de surface",7,0,1
106476,"Réaliser une opération de feutrage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"de feutrage de surface","opération de feutrage de surface",5,1,2
106477,"Réaliser une opération de meulage, ébavurage, émerisage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération de meulage, ébavurage, émerisage de surface","réaliser une opération de meulage, ébavurage, émerisage de surface",11,0,1
106477,"Réaliser une opération de meulage, ébavurage, émerisage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"de meulage, ébavurage, émerisage de surface","opération de meulage, ébavurage, émerisage de surface",9,1,2
106478,"Réaliser un ponçage, polissage, lustrage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"un ponçage, polissage, lustrage de surface","réaliser un ponçage, polissage, lustrage de surface",9,0,1
106478,"Réaliser un ponçage, polissage, lustrage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,lustrage,ANOUN,"de surface","lustrage de surface",3,3,2
106478,"Réaliser un ponçage, polissage, lustrage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,polissage,ANOUN,"de surface","polissage de surface",3,2,1
106478,"Réaliser un ponçage, polissage, lustrage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,ponçage,ANOUN,"de surface","ponçage de surface",3,1,1
106479,"Réaliser une opération de sablage, grenaillage sur une surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération de sablage, grenaillage sur une surface","réaliser une opération de sablage, grenaillage sur une surface",10,0,1
106479,"Réaliser une opération de sablage, grenaillage sur une surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"de sablage, grenaillage sur une surface","opération de sablage, grenaillage sur une surface",8,1,2
106480,"Réaliser une opération de tamponnage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération de tamponnage de surface","réaliser une opération de tamponnage de surface",7,0,1
106480,"Réaliser une opération de tamponnage de surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"de tamponnage de surface","opération de tamponnage de surface",5,1,2
106481,"Réaliser une opération de tonnelage sur une surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération de tonnelage sur une surface","réaliser une opération de tonnelage sur une surface",8,0,1
106481,"Réaliser une opération de tonnelage sur une surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"de tonnelage","opération de tonnelage",3,1,2
106482,"Réaliser une opération de tribofinition, rodage sur une surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"une opération de tribofinition","réaliser une opération de tribofinition",5,0,1
106482,"Réaliser une opération de tribofinition, rodage sur une surface",ACTIVITE DE BASE ET/OU SPECIFIQUE,opération,ANOUN,"de tribofinition","opération de tribofinition",3,1,2
106483,"Utilisation de pistolet hydraulique",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"de pistolet hydraulique","Utilisation de pistolet hydraulique",4,0,1
106484,"Réaliser des opérations sur un équipement de cabine",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement de cabine","réaliser des opérations sur un équipement de cabine",8,0,1
106484,"Réaliser des opérations sur un équipement de cabine",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement de cabine","opérations sur un équipement de cabine",6,1,2
106485,"Réaliser des opérations sur un équipement robotisé",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement robotisé","réaliser des opérations sur un équipement robotisé",7,0,1
106485,"Réaliser des opérations sur un équipement robotisé",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement robotisé","opérations sur un équipement robotisé",5,1,2
106486,"Réaliser des opérations sur un équipement manuel (touret, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement manuel","réaliser des opérations sur un équipement manuel",7,0,1
106486,"Réaliser des opérations sur un équipement manuel (touret, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement manuel","opérations sur un équipement manuel",5,1,2
106487,"Réaliser des opérations sur un équipement de bain électrolytique, ultra-son",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement de bain électrolytique, ultra-son","réaliser des opérations sur un équipement de bain électrolytique, ultra-son",11,0,1
106487,"Réaliser des opérations sur un équipement de bain électrolytique, ultra-son",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement de bain électrolytique, ultra-son","opérations sur un équipement de bain électrolytique, ultra-son",9,1,2
106488,"Traiter des matériaux inox",ACTIVITE DE BASE ET/OU SPECIFIQUE,Traiter,AVERB,"des matériaux inox","traiter des matériaux inox",4,0,1
106489,"Traiter des métaux ferreux (acier, fonte, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Traiter,AVERB,"des métaux ferreux","traiter des métaux ferreux",4,0,1
106490,"Traiter des métaux non ferreux",ACTIVITE DE BASE ET/OU SPECIFIQUE,Traiter,AVERB,"des métaux non ferreux","traiter des métaux non ferreux",5,0,1
106491,"Traiter des métaux précieux",ACTIVITE DE BASE ET/OU SPECIFIQUE,Traiter,AVERB,"des métaux précieux","traiter des métaux précieux",4,0,1
106492,"Traiter des minéraux, verre, céramique",ACTIVITE DE BASE ET/OU SPECIFIQUE,Traiter,AVERB,"des minéraux, verre, céramique","traiter des minéraux, verre, céramique",7,0,1
106493,"Traiter des matériaux plastiques, caoutchoucs, composites",ACTIVITE DE BASE ET/OU SPECIFIQUE,Traiter,AVERB,"des matériaux plastiques, caoutchoucs, composites","traiter des matériaux plastiques, caoutchoucs, composites",8,0,1
106494,"Réaliser des opérations de finition en continu (feuillard, bande, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de finition en continu","réaliser des opérations de finition en continu",7,0,1
106494,"Réaliser des opérations de finition en continu (feuillard, bande, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de finition en continu","opérations de finition en continu",5,1,2
106495,"Réaliser des opérations de finition de haute précision",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de finition de haute précision","réaliser des opérations de finition de haute précision",8,0,1
106495,"Réaliser des opérations de finition de haute précision",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de finition de haute précision","opérations de finition de haute précision",6,1,2
106496,"Réaliser des opérations de finition en micromécanique",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de finition en micromécanique","réaliser des opérations de finition en micromécanique",7,0,1
106496,"Réaliser des opérations de finition en micromécanique",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de finition en micromécanique","opérations de finition en micromécanique",5,1,2
106497,"Réaliser des opérations de finition de produits volumineux, lourds, de grande taille",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de finition de produits volumineux, lourds, de grande taille","réaliser des opérations de finition de produits volumineux, lourds, de grande taille",14,0,1
106497,"Réaliser des opérations de finition de produits volumineux, lourds, de grande taille",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de finition de produits volumineux, lourds, de grande taille","opérations de finition de produits volumineux, lourds, de grande taille",12,1,2
106500,"Régler ou contrôler les équipements, les bains ou les produits de traitement (fluidité, température, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Régler,AVERB,"les équipements, les bains ou les produits de traitement","régler les équipements, les bains ou les produits de traitement",11,0,1
106500,"Régler ou contrôler les équipements, les bains ou les produits de traitement (fluidité, température, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,contrôler,AVERB,"les équipements, les bains ou les produits de traitement","contrôler les équipements, les bains ou les produits de traitement",11,1,1
106501,"Réaliser et surveiller les traitements, les mises aux bains (dégraissage, décapage, application, passivation, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"les traitements, les mises aux bains","réaliser les traitements, les mises aux bains",8,0,1
106501,"Réaliser et surveiller les traitements, les mises aux bains (dégraissage, décapage, application, passivation, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,mises,ANOUN,"aux bains","mises aux bains",3,1,2
106501,"Réaliser et surveiller les traitements, les mises aux bains (dégraissage, décapage, application, passivation, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,surveiller,AVERB,"les traitements, les mises aux bains","surveiller les traitements, les mises aux bains",8,2,1
106502,"Contrôler le traitement des surfaces (aspect, dépôt) et effectuer des ajustements",ACTIVITE DE BASE ET/OU SPECIFIQUE,Contrôler,AVERB,"le traitement des surfaces","contrôler le traitement des surfaces",5,0,1
106502,"Contrôler le traitement des surfaces (aspect, dépôt) et effectuer des ajustements",ACTIVITE DE BASE ET/OU SPECIFIQUE,effectuer,AVERB,"des ajustements","effectuer des ajustements",3,1,1
106502,"Contrôler le traitement des surfaces (aspect, dépôt) et effectuer des ajustements",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitement,ANOUN,"des surfaces","traitement des surfaces",3,2,2
106503,"Utilisation d'instrument de mesure",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'instrument de mesure","Utilisation d'instrument de mesure",5,0,1
106505,"Réaliser des opérations de traitement de surface par anodisation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par anodisation","réaliser des opérations de traitement de surface par anodisation",9,0,1
106505,"Réaliser des opérations de traitement de surface par anodisation",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface par anodisation","opérations de traitement de surface par anodisation",7,1,2
106506,"Réaliser des opérations de traitement de surface par bain électrolytique",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par bain électrolytique","réaliser des opérations de traitement de surface par bain électrolytique",10,0,1
106506,"Réaliser des opérations de traitement de surface par bain électrolytique",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface","opérations de traitement de surface",5,1,2
106507,"Réaliser des opérations de traitement de surface par bain d'acide",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par bain d'acide","réaliser des opérations de traitement de surface par bain d'acide",11,0,1
106507,"Réaliser des opérations de traitement de surface par bain d'acide",ACTIVITE DE BASE ET/OU SPECIFIQUE,bain,ANOUN,"d'acide","bain d'acide",3,2,2
106507,"Réaliser des opérations de traitement de surface par bain d'acide",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface","opérations de traitement de surface",5,1,2
106508,"Réaliser des opérations de traitement de surface par bain de gaz réactif",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par bain de gaz réactif","réaliser des opérations de traitement de surface par bain de gaz réactif",12,0,1
106508,"Réaliser des opérations de traitement de surface par bain de gaz réactif",ACTIVITE DE BASE ET/OU SPECIFIQUE,bain,ANOUN,"de gaz réactif","bain de gaz réactif",4,2,2
106508,"Réaliser des opérations de traitement de surface par bain de gaz réactif",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface","opérations de traitement de surface",5,1,2
106509,"Réaliser des opérations de traitement de surface par chromatation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par chromatation","réaliser des opérations de traitement de surface par chromatation",9,0,1
106509,"Réaliser des opérations de traitement de surface par chromatation",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface par chromatation","opérations de traitement de surface par chromatation",7,1,2
106510,"Réaliser des opérations de traitement de surface par dépôt sous vide",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par dépôt sous vide","réaliser des opérations de traitement de surface par dépôt sous vide",11,0,1
106510,"Réaliser des opérations de traitement de surface par dépôt sous vide",ACTIVITE DE BASE ET/OU SPECIFIQUE,dépôt,ANOUN,"sous vide","dépôt sous vide",3,2,2
106510,"Réaliser des opérations de traitement de surface par dépôt sous vide",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface","opérations de traitement de surface",5,1,2
106511,"Réaliser des opérations de traitement de surface par galvanoplastie",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par galvanoplastie","réaliser des opérations de traitement de surface par galvanoplastie",9,0,1
106511,"Réaliser des opérations de traitement de surface par galvanoplastie",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface par galvanoplastie","opérations de traitement de surface par galvanoplastie",7,1,2
106512,"Réaliser des opérations de traitement de surface par phosphatation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par phosphatation","réaliser des opérations de traitement de surface par phosphatation",9,0,1
106512,"Réaliser des opérations de traitement de surface par phosphatation",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface par phosphatation","opérations de traitement de surface par phosphatation",7,1,2
106513,"Réaliser des opérations de traitement de surface par projection",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par projection","réaliser des opérations de traitement de surface par projection",9,0,1
106513,"Réaliser des opérations de traitement de surface par projection",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface par projection","opérations de traitement de surface par projection",7,1,2
106514,"Réaliser des opérations de traitement de surface par ultrasons",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement de surface par ultrasons","réaliser des opérations de traitement de surface par ultrasons",9,0,1
106514,"Réaliser des opérations de traitement de surface par ultrasons",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement de surface par ultrasons","opérations de traitement de surface par ultrasons",7,1,2
106515,"Réaliser des opérations sur un équipement de chaîne automatique, semi-automatique de traitement",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement de chaîne automatique, semi-automatique de traitement","réaliser des opérations sur un équipement de chaîne automatique, semi-automatique de traitement",13,0,1
106515,"Réaliser des opérations sur un équipement de chaîne automatique, semi-automatique de traitement",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement de chaîne automatique, semi-automatique de traitement","opérations sur un équipement de chaîne automatique, semi-automatique de traitement",11,1,2
106516,"Réaliser des opérations sur un équipement de cuve, bain",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement de cuve, bain","réaliser des opérations sur un équipement de cuve, bain",10,0,1
106516,"Réaliser des opérations sur un équipement de cuve, bain",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement de cuve, bain","opérations sur un équipement de cuve, bain",8,1,2
106517,"Réaliser des opérations sur un équipement sous vide",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement sous vide","réaliser des opérations sur un équipement sous vide",8,0,1
106517,"Réaliser des opérations sur un équipement sous vide",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement sous vide","opérations sur un équipement sous vide",6,1,2
106518,"Réaliser des opérations sur un équipement d'étuve, four",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement d'étuve, four","réaliser des opérations sur un équipement d'étuve, four",10,0,1
106518,"Réaliser des opérations sur un équipement d'étuve, four",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement d'étuve, four","opérations sur un équipement d'étuve, four",8,1,2
106519,"Réaliser des opérations sur un équipement de ligne, train de laminage à froid",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations sur un équipement de ligne","réaliser des opérations sur un équipement de ligne",8,0,1
106519,"Réaliser des opérations sur un équipement de ligne, train de laminage à froid",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"sur un équipement de ligne","opérations sur un équipement de ligne",6,1,2
106521,"Déposer un revêtement non métallique",ACTIVITE DE BASE ET/OU SPECIFIQUE,Déposer,AVERB,"un revêtement non métallique","déposer un revêtement non métallique",5,0,1
106522,"Réaliser des opérations de traitement sur un produit de haute précision",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement sur un produit de haute précision","réaliser des opérations de traitement sur un produit de haute précision",11,0,1
106522,"Réaliser des opérations de traitement sur un produit de haute précision",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement","opérations de traitement",3,1,2
106523,"Réaliser des opérations de traitement sur un produit fabriqué en continu (feuillard, bande)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement sur un produit fabriqué en continu","réaliser des opérations de traitement sur un produit fabriqué en continu",11,0,1
106523,"Réaliser des opérations de traitement sur un produit fabriqué en continu (feuillard, bande)",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement","opérations de traitement",3,1,2
106524,"Réaliser des opérations de traitement sur un produit micromécanique",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement sur un produit micromécanique","réaliser des opérations de traitement sur un produit micromécanique",9,0,1
106524,"Réaliser des opérations de traitement sur un produit micromécanique",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement","opérations de traitement",3,1,2
106525,"Réaliser des opérations de traitement sur un produit volumineux, lourd, de grande taille",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de traitement sur un produit volumineux, lourd, de grande taille","réaliser des opérations de traitement sur un produit volumineux, lourd, de grande taille",15,0,1
106525,"Réaliser des opérations de traitement sur un produit volumineux, lourd, de grande taille",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de traitement","opérations de traitement",3,1,2
106527,"Positionner les pièces (panier, grille, ...), l'équipement de chauffe ou enfourner les pièces",ACTIVITE DE BASE ET/OU SPECIFIQUE,Positionner,AVERB,"les pièces, l'équipement de chauffe","positionner les pièces, l'équipement de chauffe",8,0,1
106527,"Positionner les pièces (panier, grille, ...), l'équipement de chauffe ou enfourner les pièces",ACTIVITE DE BASE ET/OU SPECIFIQUE,enfourner,AVERB,"les pièces","enfourner les pièces",3,1,1
106528,"Sélectionner ou contrôler les paramètres et les cycles de traitement thermique",ACTIVITE DE BASE ET/OU SPECIFIQUE,Sélectionner,AVERB,"les paramètres et les cycles de traitement thermique","sélectionner les paramètres et les cycles de traitement thermique",9,0,1
106528,"Sélectionner ou contrôler les paramètres et les cycles de traitement thermique",ACTIVITE DE BASE ET/OU SPECIFIQUE,contrôler,AVERB,"les paramètres et les cycles de traitement thermique","contrôler les paramètres et les cycles de traitement thermique",9,1,1
106529,"Surveiller le traitement (chauffage, refroidissement, bain, ...), identifier les dysfonctionnements et appliquer les mesures correctives",ACTIVITE DE BASE ET/OU SPECIFIQUE,Surveiller,AVERB,"le traitement","surveiller le traitement",3,0,1
106529,"Surveiller le traitement (chauffage, refroidissement, bain, ...), identifier les dysfonctionnements et appliquer les mesures correctives",ACTIVITE DE BASE ET/OU SPECIFIQUE,appliquer,AVERB,"les mesures correctives","appliquer les mesures correctives",4,2,1
106529,"Surveiller le traitement (chauffage, refroidissement, bain, ...), identifier les dysfonctionnements et appliquer les mesures correctives",ACTIVITE DE BASE ET/OU SPECIFIQUE,identifier,AVERB,"les dysfonctionnements","identifier les dysfonctionnements",3,1,1
106530,"Enlever les pièces incandescentes, les inducteurs et contrôler leur état de surface, leur aspect",ACTIVITE DE BASE ET/OU SPECIFIQUE,Enlever,AVERB,"les pièces incandescentes, les inducteurs","enlever les pièces incandescentes, les inducteurs",7,0,1
106530,"Enlever les pièces incandescentes, les inducteurs et contrôler leur état de surface, leur aspect",ACTIVITE DE BASE ET/OU SPECIFIQUE,contrôler,AVERB,"leur état de surface, leur aspect","contrôler leur état de surface, leur aspect",8,1,1
106532,"Cycles thermiques",SAVOIRS THEORIQUES ET PROCEDURAUX,Cycles,ANOUN,"thermiques","Cycles thermiques",2,0,1
106533,"Réaliser des traitements thermiques de cémentation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de cémentation","réaliser des traitements thermiques de cémentation",6,0,1
106533,"Réaliser des traitements thermiques de cémentation",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de cémentation","traitements thermiques de cémentation",4,1,2
106534,"Réaliser des traitements thermiques de céramisation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de céramisation","réaliser des traitements thermiques de céramisation",6,0,1
106534,"Réaliser des traitements thermiques de céramisation",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de céramisation","traitements thermiques de céramisation",4,1,2
106535,"Réaliser des traitements thermiques de carbonitruration",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de carbonitruration","réaliser des traitements thermiques de carbonitruration",6,0,1
106535,"Réaliser des traitements thermiques de carbonitruration",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de carbonitruration","traitements thermiques de carbonitruration",4,1,2
106536,"Réaliser des traitements thermiques de détentionnement",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de détentionnement","réaliser des traitements thermiques de détentionnement",6,0,1
106536,"Réaliser des traitements thermiques de détentionnement",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de détentionnement","traitements thermiques de détentionnement",4,1,2
106537,"Réaliser des traitements thermiques de nitruration",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de nitruration","réaliser des traitements thermiques de nitruration",6,0,1
106537,"Réaliser des traitements thermiques de nitruration",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de nitruration","traitements thermiques de nitruration",4,1,2
106538,"Réaliser des traitements thermiques de recuit",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de recuit","réaliser des traitements thermiques de recuit",6,0,1
106538,"Réaliser des traitements thermiques de recuit",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de recuit","traitements thermiques de recuit",4,1,2
106539,"Réaliser des traitements thermiques de revenu",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de revenu","réaliser des traitements thermiques de revenu",6,0,1
106539,"Réaliser des traitements thermiques de revenu",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de revenu","traitements thermiques de revenu",4,1,2
106540,"Réaliser des traitements thermiques de stabilisation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de stabilisation","réaliser des traitements thermiques de stabilisation",6,0,1
106540,"Réaliser des traitements thermiques de stabilisation",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de stabilisation","traitements thermiques de stabilisation",4,1,2
106541,"Réaliser des traitements thermiques de trempe",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des traitements thermiques de trempe","réaliser des traitements thermiques de trempe",6,0,1
106541,"Réaliser des traitements thermiques de trempe",ACTIVITE DE BASE ET/OU SPECIFIQUE,traitements,ANOUN,"thermiques de trempe","traitements thermiques de trempe",4,1,2
106542,"Traitement par immersion",SAVOIRS THEORIQUES ET PROCEDURAUX,Traitement,ANOUN,"par immersion","Traitement par immersion",3,0,1
